Fiscal Year Num,Total Funding Num,Cumulative Funding Billions
1985.0,481017.0,0.000481017
1986.0,832186.0,0.001313203
1987.0,1474349.0,0.002787552
1988.0,3419759.0,0.006207311
1989.0,3230008.0,0.009437319
1990.0,4264319.0,0.013701638
1991.0,5024659.0,0.018726297
1992.0,6816538.0,0.025542835
1993.0,8854847.0,0.034397682
1994.0,10832220.0,0.045229902
1995.0,12601803.0,0.057831705
1996.0,15360308.0,0.073192013
1997.0,17345977.0,0.09053799
1998.0,19551599.0,0.110089589
1999.0,20981999.0,0.131071588
2000.0,21186141.0,0.152257729
2001.0,26704729.0,0.178962458
2002.0,36808120.0,0.215770578
2003.0,46602482.0,0.26237306
2004.0,57544073.0,0.319917133
2005.0,65482313.0,0.385399446
2006.0,55795387.0,0.441194833
2007.0,368441461.0,0.809636294
2008.0,455005916.0,1.26464221
2009.0,385265451.0,1.649907661
2010.0,431122914.0,2.081030575
2011.0,490289207.0,2.571319782
2012.0,520184467.0,3.091504249
2013.0,1204589286.0,4.296093535
2014.0,1434415008.0,5.730508543
2015.0,1714541008.0,7.445049551
2016.0,2621399483.0,10.066449034
2017.0,3088164714.0,13.154613748
2018.0,3389285728.0,16.543899476
2019.0,3895626888.0,20.439526364
2020.0,4793903675.0,25.233430039
2021.0,4656470477.0,29.889900516
2022.0,4933923352.0,34.823823868
2023.0,5428338980.0,40.252162848
2024.0,5557431532.0,45.80959438
2025.0,5192060303.0,51.001654683
