Fiscal Year Num,Total Funding Num,Cumulative Funding Billions
1985.0,189317.0,0.000189317
1986.0,206398.0,0.000395715
1987.0,224335.0,0.00062005
1988.0,11040168.0,0.011660218
1989.0,24452181.0,0.036112399
1990.0,37777787.0,0.073890186
1991.0,52855254.0,0.12674544
1992.0,86904941.0,0.213650381
1993.0,109458222.0,0.323108603
1994.0,105928998.0,0.429037601
1995.0,88833169.0,0.51787077
1996.0,10182634.0,0.528053404
1997.0,252037268.0,0.780090672
1998.0,305698948.0,1.08578962
1999.0,430393894.0,1.516183514
2000.0,447844351.0,1.964027865
2001.0,498928993.0,2.462956858
2002.0,592924536.0,3.055881394
2003.0,685760893.0,3.741642287
2004.0,755552973.0,4.49719526
2005.0,815279219.0,5.312474479
2006.0,697617336.0,6.010091815
2007.0,1032667114.0,7.042758929
2008.0,1228781076.0,8.271540005
2009.0,1653745775.0,9.92528578
2010.0,1879155179.0,11.804440959
2011.0,1890364618.0,13.694805577
2012.0,2571993275.0,16.266798852
2013.0,3109198900.0,19.375997752
2014.0,3470238703.0,22.846236455
2015.0,3713502509.0,26.559738964
2016.0,4369020789.0,30.928759753
2017.0,4856606741.0,35.785366494
2018.0,5058362128.0,40.843728622
2019.0,5722728567.0,46.566457189
2020.0,6283482914.0,52.849940103
2021.0,6733473330.0,59.583413433
2022.0,7052948292.0,66.636361725
2023.0,7397521252.0,74.033882977
2024.0,7527604618.0,81.561487595
2025.0,7016313466.0,88.577801061
